file_name,volume,surface_area,bounding_box_x,bounding_box_y,bounding_box_z,bounding_box_volume,compactness,triangle_count,edge_count,vertex_count,profitable
119-0000189STP_ajoasento.stl,38180.76171875,41811.84375,186.5569248199463,45.74322891235352,102.8474571480183,877671.0026794999,0.9131566153130952,35292,52938,17632,1.0
123920_B.stl,43959.50390625,35550.21484375,76.86519622802734,52.72459983825684,115.0001220703125,466059.466663094,1.2365467859887889,97488,146232,48742,1.0
123920_D.stl,43681.8671875,35325.015625,76.86519622802734,52.7245979309082,115.0001220703125,466059.4498030725,1.236570357143331,100680,151020,50338,1.0
135LR.stl,91243.4921875,41012.03125,168.34112071990967,54.519229888916016,133.3113250732422,1223508.446673445,2.2247981727922825,344056,516084,172018,1.0
155223_C__vahvistettu.stl,247935.328125,174636.546875,364.0,290.0009880065918,83.3365999981761,8797041.466515558,1.4197218884685416,379252,568878,189444,1.0
1x-master__TUC_ELASTOMER_L_20170612__TUC_07_CAP_L.stl,302841.0625,58109.98046875,90.4043960571289,26.993800163269043,270.1820068359375,659340.8761574614,5.211515475605087,188880,283320,94436,1.0
1x-master__TUC_ELASTOMER_R_20170612__TUC_07_CAP_R.stl,302857.6875,58113.75390625,90.4060001373291,26.993800163269043,270.1820068359375,659352.5750978974,5.211463158765731,150494,225741,75243,1.0
1xDL432_Simulator_iPanel_right_cover_29.9.23_reiat_sovitettu_hitserteille.stl,302867.0,139081.59375,235.99148559570312,231.33888626098636,27.000399728422053,1474060.0237856596,2.177621005295677,239572,359358,119680,1.0
1x_ADP020170104.00.stl,274650.53125,42392.453125,100.0000991821289,100.0,110.0002007484436,1100003.0984898452,6.4787600387303605,110492,165738,55246,1.0
1x_ADP020170105.00.stl,248752.875,34394.7421875,100.00010681152344,100.0,85.00020027160645,850002.9106161528,7.232293634996446,84460,126690,42230,1.0
1x_ICM2018816__ICM2018816.stl,136730.1875,94823.515625,242.00031280517575,209.50069427490237,32.001800537109375,1622466.7593691107,1.4419438743521065,69068,103602,34522,1.0
1x_SILmuotti_Merge_of_baselid_top4holes.stl,32558.3125,7046.19091796875,52.0,23.1067008972168,36.0,43255.74407958984,4.620696895534274,7476,11214,3740,1.0
1x__01b__712561___TUC_12_CAP_L.stl,493073.125,92398.4765625,101.9613037109375,30.15519905090332,385.0252075195313,1183822.9170617089,5.336377214687912,128788,193182,64390,1.0
1x__02b__712563___TUC_12_CAP_R.stl,493071.46875,92387.7734375,101.96129989624023,30.155299186706543,385.0251922607422,1183826.7569537102,5.336977506916119,132200,198300,66096,1.0
1x__Etuluukku_faces_p�ivitetty2009_Rescaled(1.005)_Rescaled(1.002)_zcomp(0.275).stl,237653.578125,84558.7265625,182.72766876220703,153.9824676513672,226.24423503875727,6365801.766230066,2.8105151033624285,58112,87168,29038,1.0
1_oikea.stl,811381.25,278765.59375,310.00009536743164,42.49840081180446,275.000700712204,3622999.015309997,2.9106219282127603,114816,172224,54375,1.0
1_vasen.stl,811997.5,279423.9375,309.99999618530273,42.5052994445432,275.000700712204,3623585.966091797,2.905969714924656,96846,145269,45377,1.0
2.stl,3466.033935546875,1624.5673828125,24.123794555664062,12.0,20.0,5789.710693359375,2.13351195660864,17022,25533,8513,1.0
200514_sivu1.stl,47758.41796875,44142.0078125,52.03090000152588,94.00000190734865,134.21319770812988,656423.9593901132,1.0819267254813434,5638,8457,2817,1.0
